timestamp_utc,mission_day,vehicle,mission,phase,temp_internal_c,temp_external_c,structural_integrity_0_1,energy_level_pct,fuel_tank_pressure_bar,oxidizer_tank_pressure_bar,propulsion_status,life_support_status,navigation_status,communications_status,thermal_control_status,overall_alert
2035-07-14T07:47:00Z,0.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,21.2,-137.8,1,97.0,246.9,262.9,OK,OK,OK,OK,OK,Nominal
2035-07-14T19:47:00Z,0.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.8,-133.1,1,96.8,247.8,260.2,OK,OK,OK,OK,OK,Nominal
2035-07-15T07:47:00Z,1.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.3,-136.5,1,96.4,247.0,262.7,OK,OK,OK,OK,OK,Nominal
2035-07-15T19:47:00Z,1.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.0,-127.4,1,97.5,249.6,260.2,OK,OK,OK,OK,OK,Nominal
2035-07-16T07:47:00Z,2.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.9,-119.5,1,96.7,247.0,264.1,OK,OK,OK,OK,OK,Nominal
2035-07-16T19:47:00Z,2.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.1,-123.6,1,95.9,249.8,262.7,OK,OK,OK,OK,OK,Nominal
2035-07-17T07:47:00Z,3.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,23.2,-112.9,1,97.6,250.3,261.7,OK,OK,OK,OK,OK,Nominal
2035-07-17T19:47:00Z,3.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,23.5,-114.1,1,97.8,249.8,262.5,OK,OK,OK,OK,OK,Nominal
2035-07-18T07:47:00Z,4.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.3,-109.1,1,95.9,247.3,260.4,OK,OK,OK,OK,OK,Nominal
2035-07-18T19:47:00Z,4.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.5,-114.6,1,95.6,248.4,261.4,OK,OK,OK,OK,OK,Nominal
2035-07-19T07:47:00Z,5.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.8,-110.7,1,94.9,249.3,262.3,OK,OK,OK,OK,OK,Nominal
2035-07-19T19:47:00Z,5.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Launch & Earth Departure,22.8,-105.6,1,96.0,245.8,260.9,OK,OK,OK,OK,OK,Nominal
2035-07-20T07:47:00Z,6.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.6,-98.7,1,94.4,247.5,262.5,OK,OK,OK,OK,OK,Nominal
2035-07-20T19:47:00Z,6.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.0,-101.8,1,91.3,245.4,259.8,OK,OK,OK,OK,OK,Nominal
2035-07-21T07:47:00Z,7.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,24.2,-111.0,1,93.6,244.8,260.9,OK,OK,OK,OK,OK,Nominal
2035-07-21T19:47:00Z,7.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,24.2,-108.6,1,90.7,243.9,258.8,OK,OK,OK,OK,OK,Nominal
2035-07-22T07:47:00Z,8.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.1,-107.0,1,90.1,245.6,258.8,OK,OK,OK,OK,OK,Nominal
2035-07-22T19:47:00Z,8.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,24.3,-114.0,1,88.6,241.6,256.8,OK,OK,OK,OK,OK,Nominal
2035-07-23T07:47:00Z,9.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.7,-117.6,1,88.6,242.0,256.2,OK,OK,OK,DEGRADED,OK,Communications fluctuation
2035-07-23T19:47:00Z,9.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,24.2,-115.5,1,86.5,243.2,258.6,OK,OK,OK,OK,OK,Nominal
2035-07-24T07:47:00Z,10.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.7,-124.0,1,86.1,240.5,255.5,OK,OK,OK,OK,OK,Nominal
2035-07-24T19:47:00Z,10.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.7,-116.8,1,84.3,239.2,257.4,OK,OK,OK,OK,OK,Nominal
2035-07-25T07:47:00Z,11.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.8,-116.1,1,83.9,237.1,256.3,OK,OK,OK,OK,OK,Nominal
2035-07-25T19:47:00Z,11.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.8,-119.4,1,83.9,237.8,252.4,OK,OK,OK,OK,OK,Nominal
2035-07-26T07:47:00Z,12.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.1,-124.5,1,84.1,236.5,250.8,OK,OK,OK,OK,OK,Nominal
2035-07-26T19:47:00Z,12.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.1,-135.0,1,84.4,236.9,253.1,OK,OK,OK,OK,OK,Nominal
2035-07-27T07:47:00Z,13.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.1,-138.7,1,84.1,236.3,249.1,OK,OK,OK,OK,OK,Nominal
2035-07-27T19:47:00Z,13.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.0,-139.2,1,83.7,234.6,248.3,OK,OK,OK,OK,OK,Nominal
2035-07-28T07:47:00Z,14.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.6,-142.7,1,81.9,234.2,248.4,OK,OK,OK,OK,OK,Nominal
2035-07-28T19:47:00Z,14.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.4,-150.0,1,84.1,230.8,247.0,OK,OK,OK,OK,OK,Nominal
2035-07-29T07:47:00Z,15.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.5,-140.4,1,83.3,231.3,245.2,OK,OK,OK,OK,OK,Nominal
2035-07-29T19:47:00Z,15.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,21.8,-155.4,1,84.3,229.5,244.5,OK,OK,OK,OK,OK,Nominal
2035-07-30T07:47:00Z,16.0,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,22.1,-160.2,1,83.3,231.7,246.1,OK,OK,OK,OK,OK,Nominal
2035-07-30T19:47:00Z,16.5,SpaceXG Interplanetary Transporter,Mars Colonization Mission (simulated),Deep Space Transit,23.1,-162.1,1,85.4,228.4,242.2,OK,OK,OK,OK,DEGRADED,Thermal loop adjustment
